PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
MS20364-820C,D9182,"NUT,SELF-LOCKING,HEXAGON",EA,"53,05",Há 6 preços para este item. Preço médio: $149.12.,Preço médio do PubLog é 181.09% mais caro.
MS21922-8,96906,"SLEEVE,CLINCH,TUBEFITTING",EA,"16,74",Há 4 preços para este item. Preço médio: $3.25.,Preço médio do PubLog é 415.08% mais barato.
A3044,24692,"BLOCK ASSEMBLY,PROP",EA,"1972,74",Há 3 preços para este item. Preço médio: $298.83.,Preço médio do PubLog é 560.15% mais barato.
AS3209-017,0U583,"PACKING,PREFORMED",EA,"3,64",Há 5 preços para este item. Preço médio: $0.16.,Preço médio do PubLog é 2175.0% mais barato.
MS5757-10-029,2289,RELAY,EA,443,Part Number/CFF não encontrado.,Não há preço
NAS517-3-7,80205,"SCREW,MACHINE",EA,"3,87",Há 6 preços para este item. Preço médio: $13.25.,Preço médio do PubLog é 242.38% mais caro.
DSP6FS464,21335,"BEARING,BALL,AIRFRAME",EA,"397,83",Há 5 preços para este item. Preço médio: $69.05.,Preço médio do PubLog é 476.15% mais barato.
MS21346-231,96906,SWITCH TOGGLE,EA,"395,39",Há 3 preços para este item. Preço médio: $63.04.,Preço médio do PubLog é 527.2% mais barato.
531-133-008,C3141,TRANSISTOR TIP,EA,"9,87",Apenas um preço foi encontrado para este item. Preço médio: $0.45.,Preço médio do PubLog é 2093.33% mais barato.
B6717-1,72121,CAPA SECUND,EA,"4698,41",Part Number/CFF não encontrado.,Não há preço
MS20600AD6W1,96906,RIVET,EA,"23,69",Há 5 preços para este item. Preço médio: $80.88.,Preço médio do PubLog é 241.41% mais caro.
MS3100K24-28P,96906,"CONNECTOR,RECEPTACLE,ELECTRICAL",EA,"2131,06",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21042L06,96906,"NUT,SELF-LOCKING,HEXAGON",EA,"25,43",Há 6 preços para este item. Preço médio: $22.4.,Preço médio do PubLog é 13.53% mais barato.
29-100-0001,3X699,POWER SUPPLY 12V 2.3AH (LEAD ACID P2020),EA,"868,63",Part Number/CFF não encontrado.,Não há preço
MS3106K24-28S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"1835,26",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
32036-124,F6137,"PACKING,PREFORMED",EA,"80,91",Part Number/CFF não encontrado.,Não há preço
G2G5-3X7G,F0344,"PIN,GROOVED,HEADLESS, U/O MAIN LAND GEAR",EA,"355,35",Part Number/CFF não encontrado.,Não há preço
BAT-493,55719,"BIT,SCREWDRIVER, PHILLIPS CROSS, LENGTH 1.938 IN, ACROSS WRENCH FLATS 1/2 IN, TIP SIZE DESIGNATION 3",EA,"13,42",Part Number/CFF não encontrado.,Não há preço
MS20427M3-6,96906,RIVET,EA,"21,72",Há 6 preços para este item. Preço médio: $5.62.,Preço médio do PubLog é 286.48% mais barato.
MS21251B6L,96906,TURNBUCKLE BODY,EA,"83,55",Há 5 preços para este item. Preço médio: $11.7.,Preço médio do PubLog é 614.1% mais barato.
10938,F6137,GASKET,EA,"236,9",Part Number/CFF não encontrado.,Não há preço
164829,F6177,"SHUNT,TUNING",EA,"220,63",Part Number/CFF não encontrado.,Não há preço
MS21134-10026,96906,BOLT,EA,"1184,49",Part Number/CFF não encontrado.,Não há preço
11662,F6137,"PLUNGER,DETENT, U/O DISK BRAKE,AIRCRAFT, LEFT AND RIGHT",EA,"2290,02",Part Number/CFF não encontrado.,Não há preço
MS17821-4-9,96906,STRAP-TIE DOWN.NYLON,EA,"5,21",Há 6 preços para este item. Preço médio: $0.82.,Preço médio do PubLog é 535.37% mais barato.
A-867,24692,"RING,SPLIT FEATHERI",EA,"470,53",Apenas um preço foi encontrado para este item. Preço médio: $3.48.,Preço médio do PubLog é 13420.98% mais barato.
B5074,76275,ASSEMBLY BRIDG,EA,"1816,22",Part Number/CFF não encontrado.,Não há preço
MS21250-08014,96906,"BOLT,SHEAR",EA,"99,41",Há 5 preços para este item. Preço médio: $8.3.,Preço médio do PubLog é 1097.71% mais barato.
B-6544,24692,LUBRIFICATION FITTING,EA,"23,37",Part Number/CFF não encontrado.,Não há preço
AE18885E,69705,SLEEVE,EA,"765,97",Part Number/CFF não encontrado.,Não há preço
03-6010-18,31435,"BEARING,BALL,ANNULAR",EA,"1441,96",Apenas um preço foi encontrado para este item. Preço médio: $9.4.,Preço médio do PubLog é 15240.0% mais barato.
23032-2453,31435,ADAPTATEUR DE MONTA,EA,"2128,38",Part Number/CFF não encontrado.,Não há preço
LS5-350,35918,SPRING CONTROL,EA,"11,84",Há 4 preços para este item. Preço médio: $1.77.,Preço médio do PubLog é 568.93% mais barato.
MS28034-3,96906,"TRANSMITTER,TEMPERATURE,ELECTRICAL RESISTANCE",EA,"703,68",Há 6 preços para este item. Preço médio: $845.81.,Preço médio do PubLog é 20.2% mais caro.
100-XT6,071U1,BIT SCREW DRIVER,EA,"54,33",Part Number/CFF não encontrado.,Não há preço
26479-0495,65457,CONNECTOR,EA,"1097,63",Part Number/CFF não encontrado.,Não há preço
A12139,10988,"PACKING,PREFORMED",EA,481,Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
