PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
MS20364-820C;D9182;NUT,SELF-LOCKING,HEXAGON;EA;53,05
MS21922-8;96906;SLEEVE,CLINCH,TUBEFITTING;EA;16,74
A3044;24692;BLOCK ASSEMBLY,PROP;EA;1972,74
AS3209-017;0U583;PACKING,PREFORMED;EA;3,64
MS5757-10-029;2289;RELAY;EA;443
NAS517-3-7;80205;SCREW,MACHINE;EA;3,87
DSP6FS464;21335;BEARING,BALL,AIRFRAME;EA;397,83
MS21346-231;96906;SWITCH TOGGLE;EA;395,39
531-133-008;C3141;TRANSISTOR TIP;EA;9,87
B6717-1;72121;CAPA SECUND;EA;4698,41
MS20600AD6W1;96906;RIVET;EA;23,69
MS3100K24-28P;96906;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;2131,06
MS21042L06;96906;NUT,SELF-LOCKING,HEXAGON;EA;25,43
29-100-0001;3X699;POWER SUPPLY 12V 2.3AH (LEAD ACID P2020);EA;868,63
MS3106K24-28S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;1835,26
32036-124;F6137;PACKING,PREFORMED;EA;80,91
G2G5-3X7G;F0344;PIN,GROOVED,HEADLESS, U/O MAIN LAND GEAR;EA;355,35
BAT-493;55719;BIT,SCREWDRIVER, PHILLIPS CROSS, LENGTH 1.938 IN, ACROSS WRENCH FLATS 1/2 IN, TIP SIZE DESIGNATION 3;EA;13,42
MS20427M3-6;96906;RIVET;EA;21,72
MS21251B6L;96906;TURNBUCKLE BODY;EA;83,55
10938;F6137;GASKET;EA;236,9
164829;F6177;SHUNT,TUNING;EA;220,63
MS21134-10026;96906;BOLT;EA;1184,49
11662;F6137;PLUNGER,DETENT, U/O DISK BRAKE,AIRCRAFT, LEFT AND RIGHT;EA;2290,02
MS17821-4-9;96906;STRAP-TIE DOWN.NYLON;EA;5,21
A-867;24692;RING,SPLIT FEATHERI;EA;470,53
B5074;76275;ASSEMBLY BRIDG;EA;1816,22
MS21250-08014;96906;BOLT,SHEAR;EA;99,41
B-6544;24692;LUBRIFICATION FITTING;EA;23,37
AE18885E;69705;SLEEVE;EA;765,97
03-6010-18;31435;BEARING,BALL,ANNULAR;EA;1441,96
23032-2453;31435;ADAPTATEUR DE MONTA;EA;2128,38
LS5-350;35918;SPRING CONTROL;EA;11,84
MS28034-3;96906;TRANSMITTER,TEMPERATURE,ELECTRICAL RESISTANCE;EA;703,68
100-XT6;071U1;BIT SCREW DRIVER;EA;54,33
26479-0495;65457;CONNECTOR;EA;1097,63
A12139;10988;PACKING,PREFORMED;EA;481
14-99802-21;76197;ARM,WINDSHIELD WIPER;EA;4118,09
30060-21-7512;72914;LIGHT,NAVIGATIONAL,AIRCRAFT, LEFT HAND WING, COLOR RED, GLASS LENS, 26,5 VOLTS DC;EA;16204,54
41-0441-1;72914;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;589,56
602EN123-6;91929;SWITCH,SENSITIVE;EA;2845,97
4009270-3WD;7187;BEARING UNIT,BALL;EA;3816,44
MS21905D4;96906;TEE,TUBE TO BOSS;EA;60,19
B-6245-303;72914;LIGHT DOME;EA;9259,74
A13217;72121;GEAR,WORM;EA;20754,69
B6583;17472;PLATE,ROD END;EA;231,61
B6553-1;17472;WASHER,FLAT;EA;1468,77
40243G-02;71483;CUSHION,EAR;EA;161,64
050-02960-0000;22373;INSTALLATION KIT FOR ANT KA-54;EA;2368,99
NAS1149F0563P;80205;WASHER,FLAT;EA;3,04
AD-29529-001;74025;HARNESS ASSEMBLY,SE;EA;2064,28
85-0446-7;72914;LIGHT DOME CABIN;EA;2585,01
MS21908W4;81343;ELBOW,TUBE;EA;50,54
MS3108R10S13S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;218,3
14445;F0189;BEARING,PLAIN,SPHERICAL, LH/RH;EA;1047,09
AN320-2;88044;NUT,PLAIN,SLOTTED,HEXAGON;EA;22,58
4772-6;99894;ATTENUATOR;EA;1326,63
50-0014-3;72914;LIGHT LAND;EA;955,81
4080A;98429;WHEEL,MINUTE RECORD;EA;476,48
MS9565-05;96906;BOLT,MACHINE;EA;908,84
M8805/99-025;81349;SWITCH;EA;1258,01
HL22-5-5;73197;PIN RIVET;EA;8,21
HL22-6-6;73197;PIN-RIVET,THRE;EA;67,91
AN520-10-9;88044;SCREW MACHINE;EA;9,87
AS5180B04;81343;ADAPTER,STRAIGHT,TUBE TO HOSE;EA;460,45
M8815/6-8;78286;FILTER ELEMENT,FLUID;EA;503,39
BACN10B-L7L;81205;NUT,SELF-LOCKING,EXTENDED WASHER,DOUBLE HEXAGON;EA;54,26
A-2036-22;24692;SCREW,CAP,SOCKET HEAD;EA;121,37
MS3106K12S3S;96906;CONNECTOR,PLUG;EA;6770,65
MS25010B12A327;96906;LIGHT PANEL;EA;292,33
MS20392-2C95;96906;PIN STR HD;EA;13,35
LM412-37;76005;GASKET;EA;600,14
MS20426AD5-10;96906;RIVET,SOLID;EA;86,07
MS20470AD3-3;96906;RIVET,SOLID;EA;272
MS20002C6;80205;WASHER,RECESSED;EA;69,3
AN818-12D;88044;NUT,TUBE COUPLING;EA;17,21
A-2043-1;24692;NUT,SELF-LOCKING,HEXAGON;EA;3,4
MS35333-39;80205;WASHER,LOCK;EA;5,48
AN960-916;88044;WASHER,FLAT;EA;8,49
MS21256-2;96906;CLIP, RETAINING, AVIATION;EA;1,2
AN837-4D;88044;ELBOW,TUBE;EA;70,75
MS3106F14S5S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;115,13
MS24149-D1;96906;RELAY,ELECTROMAGNETIC;EA;4363,87
AN3-21A;88044;BOLT,MACHINE;EA;23,69
MS28775-213;F0229;PACKING,PREFORMED;EA;1,39
MS20220-2;96906;PULLEY,GROOVE;EA;239
MS27645-5;96906;BEARING,BALL,AIRFRAME;EA;198
900591B2C;97499;CLAMP,HOSE, MATERIAL STEEL CORROSION RESISTING;EA;9,4
AS15001-1P;81343;FITTING,LUBRICATION;EA;676,43
02-5600-13;3CPE0;BEARING,WASHER,THRUST;EA;370,98
